Nodes
ID,Title,X,Y,Z,Type
1,7,Yes,0,0,0,0,0,0,0,0,0
2,8,Yes,0,0,0,0,0,0,0,0,0
3,9,Yes,0,0,0,0,0,0,0,0,0
4,10,Yes,0,0,0,0,0,0,0,0,0
5,11,Yes,0,0,0,0,0,0,0,0,0
6,12,Yes,0,0,0,0,0,0,0,0,0
7,13,No,1,M20,8.8,S235,30,30,0,0,10
8,14,No,1,M20,8.8,S235,30,30,0,0,10
9,15,No,1,M20,8.8,S235,30,30,0,0,10
10,16,No,1,M20,8.8,S235,30,30,0,0,10
11,17,No,1,M20,8.8,S235,30,30,0,0,10
12,18,No,1,M20,8.8,S235,30,30,0,0,10
13,25,Yes,0,0,0,0,0,0,0,0,0
14,26,Yes,0,0,0,0,0,0,0,0,0
15,27,Yes,0,0,0,0,0,0,0,0,0
16,28,Yes,0,0,0,0,0,0,0,0,0
17,29,Yes,0,0,0,0,0,0,0,0,0
18,30,Yes,0,0,0,0,0,0,0,0,0
19,31,No,1,M16,8.8,S235,30,30,0,0,10
20,32,No,1,M16,8.8,S235,30,30,0,0,10
21,33,No,1,M16,8.8,S235,30,30,0,0,10
22,34,No,1,M16,8.8,S235,30,30,0,0,10
23,35,No,1,M16,8.8,S235,30,30,0,0,10
24,36,No,1,M16,8.8,S235,30,30,0,0,10
25,43,Yes,0,0,0,0,0,0,0,0,0
26,44,Yes,0,0,0,0,0,0,0,0,0
27,45,Yes,0,0,0,0,0,0,0,0,0
28,46,Yes,0,0,0,0,0,0,0,0,0
29,47,Yes,0,0,0,0,0,0,0,0,0
30,48,Yes,0,0,0,0,0,0,0,0,0
31,49,No,1,M20,8.8,S235,30,30,0,0,10
32,50,No,1,M20,8.8,S235,30,30,0,0,10
33,51,No,1,M20,8.8,S235,30,30,0,0,10
34,52,No,1,M20,8.8,S235,30,30,0,0,10
35,53,No,1,M20,8.8,S235,30,30,0,0,10
36,54,No,1,M20,8.8,S235,30,30,0,0,10
37,61,Yes,0,0,0,0,0,0,0,0,0
38,62,Yes,0,0,0,0,0,0,0,0,0
39,63,Yes,0,0,0,0,0,0,0,0,0
40,64,Yes,0,0,0,0,0,0,0,0,0
41,65,Yes,0,0,0,0,0,0,0,0,0
42,66,Yes,0,0,0,0,0,0,0,0,0
43,67,No,1,M16,8.8,S235,30,30,0,0,10
44,68,No,1,M16,8.8,S235,30,30,0,0,10
45,69,No,1,M16,8.8,S235,30,30,0,0,10
46,70,No,1,M16,8.8,S235,30,30,0,0,10
47,71,No,1,M16,8.8,S235,30,30,0,0,10
48,72,No,1,M16,8.8,S235,30,30,0,0,10
49,79,Yes,0,0,0,0,0,0,0,0,0
50,80,Yes,0,0,0,0,0,0,0,0,0
51,81,Yes,0,0,0,0,0,0,0,0,0
52,82,Yes,0,0,0,0,0,0,0,0,0
53,83,Yes,0,0,0,0,0,0,0,0,0
54,84,Yes,0,0,0,0,0,0,0,0,0
55,85,No,1,M16,8.8,S235,30,30,0,0,10
56,86,No,1,M16,8.8,S235,30,30,0,0,10
57,87,No,1,M16,8.8,S235,30,30,0,0,10
58,88,No,1,M16,8.8,S235,30,30,0,0,10
59,89,No,1,M16,8.8,S235,30,30,0,0,10
60,90,No,1,M16,8.8,S235,30,30,0,0,10
61,94,Yes,0,0,0,0,0,0,0,0,0
62,95,Yes,0,0,0,0,0,0,0,0,0
63,96,Yes,0,0,0,0,0,0,0,0,0
64,97,No,1,M16,8.8,S235,30,30,0,0,10
65,98,No,1,M16,8.8,S235,30,30,0,0,10
66,99,No,1,M16,8.8,S235,30,30,0,0,10

Shaft Connection - Flange
Id_Connection,ID_Node,Exterior_Perimeter_Flange_mm,Distance_Between_Bolts_mm,Flange_Thickness_mm,Type_of_Steel_Flange,Bolts_Diameter_mm,Quantity_of_Bolts,Type_of_Steel_Bolts,Does_it_have_Stiffeners,Quantity_of_Stiffeners,Stiffeners_Thickness_mm,Stiffeners_Length_mm,Stiffeners_Height_mm
1,7,974,96,30,S355,M24,8,8.8,no,0,0,0,0
2,8,974,96,30,S355,M24,8,8.8,no,0,0,0,0
3,9,974,96,30,S355,M24,8,8.8,no,0,0,0,0
4,13,754,155,25,S355,M20,6,8.8,no,0,0,0,0
5,14,754,155,25,S355,M20,6,8.8,no,0,0,0,0
6,15,754,155,25,S355,M20,6,8.8,no,0,0,0,0
7,19,754,95,25,S355,M20,6,8.8,no,0,0,0,0
8,20,754,95,25,S355,M20,6,8.8,no,0,0,0,0
9,21,754,95,25,S355,M20,6,8.8,no,0,0,0,0
10,25,597,70,20,S355,M16,6,8.8,no,0,0,0,0
11,26,597,70,20,S355,M16,6,8.8,no,0,0,0,0
12,27,597,70,20,S355,M16,6,8.8,no,0,0,0,0
13,31,597,70,20,S355,M16,6,8.8,no,0,0,0,0
14,32,597,70,20,S355,M16,6,8.8,no,0,0,0,0
15,33,597,70,20,S355,M16,6,8.8,no,0,0,0,0
16,34,0,0,0,0,0,0,0,0,0,0,0,0
17,35,0,0,0,0,0,0,0,0,0,0,0,0
18,36,0,0,0,0,0,0,0,0,0,0,0,0

Shaft Connection - Bolted
Id_Connection,ID_Node,How_many_Counter_Plates,Type_of_Steel_of_the_Counter_Plate,Thickness_of_the_Counter_Plate_mm,e1,e2,p1,p2,Quantity_of_Bolts_per_Tab,Bolts_Diameter,Type_of_Steel_Bolts

Foundation
Foundation Type,Not selected
Height (m) / Slab Height (m),0
Width (m) / Slab Width (m),0
Pier Height (m),0
Pier Width (m),0

Orientation
Tower_Orientation_Degrees
0.00
