Nodes,,,,,,,,,,,,,
ID,Title,X,Y,Z,Type,,,,,,,,
,,,,,,,,,,,,,
Diag_Hor_Connection,,,,,,,,,,,,,
Id_Lig,Id_Ele,Is_Welded,NBolts,Bolt_Diameter,Type_of_Steel_Bolt,Type_of_Steel_of_the_Plate,e1,e2,p1,p2,Thickness_of_the_Plate,,
1,10,No,2,M16,8.8,S355,40,40,0,60,6,,
2,11,No,2,M16,8.8,S355,40,40,0,60,6,,
3,12,No,2,M16,8.8,S355,40,40,0,60,6,,
4,13,No,2,M16,8.8,S355,40,40,0,60,6,,
5,14,No,2,M16,8.8,S355,40,40,0,60,6,,
6,15,No,2,M16,8.8,S355,40,40,0,60,6,,
7,16,No,2,M16,8.8,S355,40,40,0,60,6,,
8,17,No,2,M16,8.8,S355,40,40,0,60,6,,
9,18,No,2,M16,8.8,S355,40,40,0,60,6,,
10,19,No,1,M16,8.8,S355,40,40,0,0,6,,
11,20,No,1,M16,8.8,S355,40,40,0,0,6,,
12,21,No,1,M16,8.8,S355,40,40,0,0,6,,
13,22,No,1,M16,8.8,S355,40,40,0,0,6,,
14,23,No,1,M16,8.8,S355,40,40,0,0,6,,
15,24,No,1,M16,8.8,S355,40,40,0,0,6,,
16,25,No,1,M16,8.8,S355,40,40,0,0,6,,
17,26,No,1,M16,8.8,S355,40,40,0,0,6,,
18,27,No,1,M16,8.8,S355,40,40,0,0,6,,
19,37,No,2,M16,8.8,S355,40,40,0,60,6,,
20,38,No,2,M16,8.8,S355,40,40,0,60,6,,
21,39,No,2,M16,8.8,S355,40,40,0,60,6,,
22,40,No,2,M16,8.8,S355,40,40,0,60,6,,
23,41,No,2,M16,8.8,S355,40,40,0,60,6,,
24,42,No,2,M16,8.8,S355,40,40,0,60,6,,
25,43,No,2,M16,8.8,S355,40,40,0,60,6,,
26,44,No,2,M16,8.8,S355,40,40,0,60,6,,
27,45,No,2,M16,8.8,S355,40,40,0,60,6,,
28,46,No,1,M16,8.8,S355,40,40,0,0,6,,
29,47,No,1,M16,8.8,S355,40,40,0,0,6,,
30,48,No,1,M16,8.8,S355,40,40,0,0,6,,
31,49,No,1,M16,8.8,S355,40,40,0,0,6,,
32,50,No,1,M16,8.8,S355,40,40,0,0,6,,
33,51,No,1,M16,8.8,S355,40,40,0,0,6,,
34,52,No,1,M16,8.8,S355,40,40,0,0,6,,
35,53,No,1,M16,8.8,S355,40,40,0,0,6,,
36,54,No,1,M16,8.8,S355,40,40,0,0,6,,
37,64,No,2,M16,8.8,S355,40,40,0,60,6,,
38,65,No,2,M16,8.8,S355,40,40,0,60,6,,
39,66,No,2,M16,8.8,S355,40,40,0,60,6,,
40,67,No,2,M16,8.8,S355,40,40,0,60,6,,
41,68,No,2,M16,8.8,S355,40,40,0,60,6,,
42,69,No,2,M16,8.8,S355,40,40,0,60,6,,
43,70,No,2,M16,8.8,S355,40,40,0,60,6,,
44,71,No,2,M16,8.8,S355,40,40,0,60,6,,
45,72,No,2,M16,8.8,S355,40,40,0,60,6,,
46,73,No,1,M16,8.8,S355,40,40,0,0,6,,
47,74,No,1,M16,8.8,S355,40,40,0,0,6,,
48,75,No,1,M16,8.8,S355,40,40,0,0,6,,
49,76,No,1,M16,8.8,S355,40,40,0,0,6,,
50,77,No,1,M16,8.8,S355,40,40,0,0,6,,
51,78,No,1,M16,8.8,S355,40,40,0,0,6,,
52,79,No,1,M16,8.8,S355,40,40,0,0,6,,
53,80,No,1,M16,8.8,S355,40,40,0,0,6,,
54,81,No,1,M16,8.8,S355,40,40,0,0,6,,
55,85,No,2,M16,8.8,S355,40,40,0,60,6,,
56,86,No,2,M16,8.8,S355,40,40,0,60,6,,
57,87,No,2,M16,8.8,S355,40,40,0,60,6,,
58,88,No,1,M16,8.8,S355,40,40,0,0,6,,
59,89,No,1,M16,8.8,S355,40,40,0,0,6,,
60,90,No,1,M16,8.8,S355,40,40,0,0,6,,
,,,,,,,,,,,,,
Shaft Connection - Flange,,,,,,,,,,,,,
Id_Connection,ID_Node,Exterior_Perimeter_Flange_mm,Distance_Between_Bolts_mm,Flange_Thickness_mm,Type_of_Steel_Flange,Bolts_Diameter_mm,Quantity_of_Bolts,Type_of_Steel_Bolts,Does_it_have_Stiffeners,Quantity_of_Stiffeners,Stiffeners_Thickness_mm,Stiffeners_Length_mm,Stiffeners_Height_mm
1,10,1005,120,25,S355,M24,6,8.8,no,0,0,0,0
2,11,1005,120,25,S355,M24,6,8.8,no,0,0,0,0
3,12,1005,120,25,S355,M24,6,8.8,no,0,0,0,0
4,19,927,108,20,S355,M20,6,8.8,no,0,0,0,0
5,20,927,108,20,S355,M20,6,8.8,no,0,0,0,0
6,21,927,108,20,S355,M20,6,8.8,no,0,0,0,0
7,28,692,83,20,S355,M16,6,8.8,no,0,0,0,0
8,29,692,83,20,S355,M16,6,8.8,no,0,0,0,0
9,30,692,83,20,S355,M16,6,8.8,no,0,0,0,0
10,31,0,0,0,0,0,0,0,0,0,0,0,0
11,32,0,0,0,0,0,0,0,0,0,0,0,0
12,33,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
Shaft Connection - Bolted,,,,,,,,,,,,,
Id_Connection,ID_Node,How_many_Counter_Plates,Type_of_Steel_of_the_Counter_Plate,Thickness_of_the_Counter_Plate_mm,e1,e2,p1,p2,Quantity_of_Bolts_per_Tab,Bolts_Diameter,Type_of_Steel_Bolts,,
,,,,,,,,,,,,,
Foundation
Foundation Type,Not selected,,,,,,,,,,,,
Height (m) / Slab Height (m),0,,,,,,,,,,,,
Width (m) / Slab Width (m),0,,,,,,,,,,,,
Pier Height (m),0,,,,,,,,,,,,
Pier Width (m),0,,,,,,,,,,,,
,,,,,,,,,,,,,
Orientation,,,,,,,,,,,,,
Tower_Orientation_Degrees,,,,,,,,,,,,,
0,,,,,,,,,,,,,
