Nodes
ID,Title,X,Y,Z,Type
37,Diagonal Bar 37 - Shaft 1,7,23,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
38,Diagonal Bar 38 - Shaft 1,23,12,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
39,Diagonal Bar 39 - Shaft 1,8,23,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
40,Diagonal Bar 40 - Shaft 1,23,11,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
41,Diagonal Bar 41 - Shaft 1,8,24,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
42,Diagonal Bar 42 - Shaft 1,24,9,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
43,Diagonal Bar 43 - Shaft 1,5,24,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
44,Diagonal Bar 44 - Shaft 1,24,12,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
45,Diagonal Bar 45 - Shaft 1,9,25,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
46,Diagonal Bar 46 - Shaft 1,25,14,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
47,Diagonal Bar 47 - Shaft 1,10,25,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
48,Diagonal Bar 48 - Shaft 1,25,13,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
49,Diagonal Bar 49 - Shaft 1,10,26,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
50,Diagonal Bar 50 - Shaft 1,26,15,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
51,Diagonal Bar 51 - Shaft 1,11,26,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
52,Diagonal Bar 52 - Shaft 1,26,14,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
53,Diagonal Bar 53 - Shaft 1,11,27,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
54,Diagonal Bar 54 - Shaft 1,27,16,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
55,Diagonal Bar 55 - Shaft 1,12,27,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
56,Diagonal Bar 56 - Shaft 1,27,15,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
57,Diagonal Bar 57 - Shaft 1,12,28,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
58,Diagonal Bar 58 - Shaft 1,28,13,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
59,Diagonal Bar 59 - Shaft 1,9,28,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
60,Diagonal Bar 60 - Shaft 1,28,16,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
61,Horizontal Bar 61 - Shaft 1,13,14,Horizontal Bar,pipe,Ø 26.9x2.6,S235,Yes,0,X-Bracing,yes,yes
