Nodes
ID,Title,X,Y,Z,Type
58,Diagonal Bar 58 - Shaft 2,18,26,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
59,Diagonal Bar 59 - Shaft 2,26,20,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
60,Diagonal Bar 60 - Shaft 2,18,27,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
61,Diagonal Bar 61 - Shaft 2,27,19,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
62,Diagonal Bar 62 - Shaft 2,16,27,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
63,Diagonal Bar 63 - Shaft 2,27,21,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
64,Horizontal Bar 64 - Shaft 2,19,20,Horizontal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
65,Horizontal Bar 65 - Shaft 2,20,21,Horizontal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
66,Horizontal Bar 66 - Shaft 2,21,19,Horizontal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
67,Leg 67 - Shaft 3,19,28,Leg,pipe,Ø 168.3x6.0,S355,0,0,X-Bracing,yes,no
68,Leg 68 - Shaft 3,20,29,Leg,pipe,Ø 168.3x6.0,S355,0,0,X-Bracing,yes,no
69,Leg 69 - Shaft 3,21,30,Leg,pipe,Ø 168.3x6.0,S355,0,0,X-Bracing,yes,no
70,Leg 70 - Shaft 3,28,31,Leg,pipe,Ø 168.3x6.0,S355,0,0,X-Bracing,yes,no
71,Leg 71 - Shaft 3,29,32,Leg,pipe,Ø 168.3x6.0,S355,0,0,X-Bracing,yes,no
72,Leg 72 - Shaft 3,30,33,Leg,pipe,Ø 168.3x6.0,S355,0,0,X-Bracing,yes,no
73,Diagonal Bar 73 - Shaft 3,19,34,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
74,Diagonal Bar 74 - Shaft 3,34,29,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
75,Diagonal Bar 75 - Shaft 3,20,34,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
76,Diagonal Bar 76 - Shaft 3,34,28,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
77,Diagonal Bar 77 - Shaft 3,20,35,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
78,Diagonal Bar 78 - Shaft 3,35,30,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
79,Diagonal Bar 79 - Shaft 3,21,35,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
80,Diagonal Bar 80 - Shaft 3,35,29,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
81,Diagonal Bar 81 - Shaft 3,21,36,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
82,Diagonal Bar 82 - Shaft 3,36,28,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
83,Diagonal Bar 83 - Shaft 3,19,36,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
84,Diagonal Bar 84 - Shaft 3,36,30,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
85,Diagonal Bar 85 - Shaft 3,28,37,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
86,Diagonal Bar 86 - Shaft 3,37,32,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
87,Diagonal Bar 87 - Shaft 3,29,37,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
88,Diagonal Bar 88 - Shaft 3,37,31,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
89,Diagonal Bar 89 - Shaft 3,29,38,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
90,Diagonal Bar 90 - Shaft 3,38,33,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
91,Diagonal Bar 91 - Shaft 3,30,38,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
92,Diagonal Bar 92 - Shaft 3,38,32,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
93,Diagonal Bar 93 - Shaft 3,30,39,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
94,Diagonal Bar 94 - Shaft 3,39,31,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
95,Diagonal Bar 95 - Shaft 3,28,39,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
96,Diagonal Bar 96 - Shaft 3,39,33,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
97,Horizontal Bar 97 - Shaft 3,31,32,Horizontal Bar,angle,L50x50x4,S235,No,1,X-Bracing,yes,no
98,Horizontal Bar 98 - Shaft 3,32,33,Horizontal Bar,angle,L50x50x4,S235,No,1,X-Bracing,yes,no
